
  2FA impatient — 393 frames, 11 distinct states

      t    ms  st  work  shld   way  sim   phone  dlg   typed  busy  err  scrim  recap  panel  done           path
      5    38   0     ·     ·  pill    ·       ·    ·       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     43     8   0     Y     Y  none    ·       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     51    21   1     ·     ·  none    Y       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     72   183   1     ·     ·  none    Y       ·    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
    255    16   1     Y     Y  none    Y  165834    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
    271    17   1     Y     Y  none    Y  165834    Y  165834     ·    ·      1      ·      Y     ·  /auth/sign-in
    288   134   2     ·     ·  none    Y  165834    Y  165834     ·    ·      1      ·      Y     ·  /auth/sign-in
    422    16   2     Y     Y  none    Y  165834    Y  165834     ·    ·      1      ·      Y     ·  /auth/sign-in
    438    17   2     Y     Y  none    Y  165834    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    455   116   3     ·     ·  none    Y  165834    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    571  5966   3     ·     ·  pill    Y  165834    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in

  "Working…" total 74 ms, longest single run 17 ms

