
  2FA impatient — 391 frames, 11 distinct states

      t    ms  st  work  shld   way  sim   phone  dlg   typed  busy  err  scrim  recap  panel  done           path
      2    32   0     ·     ·  pill    ·       ·    ·       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     34     6   0     Y     Y  none    ·       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     40    13   1     ·     ·  none    Y       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     53   183   1     ·     ·  none    Y       ·    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
    236    16   1     Y     Y  none    Y  178004    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
    252    17   1     Y     Y  none    Y  178004    Y  178004     ·    ·      1      ·      Y     ·  /auth/sign-in
    269   133   2     ·     ·  none    Y  178004    Y  178004     ·    ·      1      ·      Y     ·  /auth/sign-in
    402    17   2     Y     Y  none    Y  178004    Y  178004     ·    ·      1      ·      Y     ·  /auth/sign-in
    419    17   2     Y     Y  none    Y  178004    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    436   133   3     ·     ·  none    Y  178004    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    569  5933   3     ·     ·  pill    Y  178004    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in

  "Working…" total 73 ms, longest single run 17 ms

