
  2FA impatient — 391 frames, 11 distinct states

      t    ms  st  work  shld   way  sim   phone  dlg   typed  busy  err  scrim  recap  panel  done           path
      2    33   0     ·     ·  pill    ·       ·    ·       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     35     6   0     Y     Y  none    ·       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     41    11   1     ·     ·  none    Y       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     52   184   1     ·     ·  none    Y       ·    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
    236    16   1     Y     Y  none    Y  919730    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
    252    17   1     Y     Y  none    Y  919730    Y  919730     ·    ·      1      ·      Y     ·  /auth/sign-in
    269   134   2     ·     ·  none    Y  919730    Y  919730     ·    ·      1      ·      Y     ·  /auth/sign-in
    403    16   2     Y     Y  none    Y  919730    Y  919730     ·    ·      1      ·      Y     ·  /auth/sign-in
    419    17   2     Y     Y  none    Y  919730    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    436   133   3     ·     ·  none    Y  919730    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    569  5933   3     ·     ·  pill    Y  919730    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in

  "Working…" total 72 ms, longest single run 17 ms

