
  2FA impatient — 393 frames, 11 distinct states

      t    ms  st  work  shld   way  sim   phone  dlg   typed  busy  err  scrim  recap  panel  done           path
      6    40   0     ·     ·  pill    ·       ·    ·       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     46     7   0     Y     Y  none    ·       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     53    20   1     ·     ·  none    Y       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     73   184   1     ·     ·  none    Y       ·    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
    257    15   1     Y     Y  none    Y  813730    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
    272    17   1     Y     Y  none    Y  813730    Y  813730     ·    ·      1      ·      Y     ·  /auth/sign-in
    289   134   2     ·     ·  none    Y  813730    Y  813730     ·    ·      1      ·      Y     ·  /auth/sign-in
    423    16   2     Y     Y  none    Y  813730    Y  813730     ·    ·      1      ·      Y     ·  /auth/sign-in
    439    17   2     Y     Y  none    Y  813730    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    456   116   3     ·     ·  none    Y  813730    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    572  5967   3     ·     ·  pill    Y  813730    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in

  "Working…" total 72 ms, longest single run 17 ms

