
  2FA impatient — 392 frames, 11 distinct states

      t    ms  st  work  shld   way  sim   phone  dlg   typed  busy  err  scrim  recap  panel  done           path
     13    29   0     ·     ·  pill    ·       ·    ·       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     42     8   0     Y     Y  none    ·       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     50    13   1     ·     ·  none    Y       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     63   183   1     ·     ·  none    Y       ·    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
    246    16   1     Y     Y  none    Y  520942    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
    262    17   1     Y     Y  none    Y  520942    Y  520942     ·    ·      1      ·      Y     ·  /auth/sign-in
    279   134   2     ·     ·  none    Y  520942    Y  520942     ·    ·      1      ·      Y     ·  /auth/sign-in
    413    16   2     Y     Y  none    Y  520942    Y  520942     ·    ·      1      ·      Y     ·  /auth/sign-in
    429    17   2     Y     Y  none    Y  520942    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    446   117   3     ·     ·  none    Y  520942    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    563  5966   3     ·     ·  pill    Y  520942    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in

  "Working…" total 74 ms, longest single run 17 ms

